Nr.p.k.,Norise,Iestāde,Pašvaldība,Punkti Lasīšana,Procenti Lasīšana,Punkti Klausīšanās,Procenti Klausīšanās,Punkti Rakstīšana,Procenti Rakstīšana,Punkti Runāšana,Procenti Runāšana,Punkti kopā,Procenti kopā,Tips,Urbanizācija
6002,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Rīgas Komercskola""",Rīga,"7,0000",28,"3,0000",12,"12,5000",50,"12,0000",48,"34,5000",34,tālmācības vidusskola,Tālmācības vidusskola
6003,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Rīgas Komercskola""",Rīga,"15,0000",60,"16,0000",64,"18,1250",72,"18,0000",72,"67,1250",67,tālmācības vidusskola,Tālmācības vidusskola
6004,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Rīgas Komercskola""",Rīga,"11,0000",44,"11,0000",44,"18,1250",72,"20,0000",80,"60,1250",60,tālmācības vidusskola,Tālmācības vidusskola
6005,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Rīgas Komercskola""",Rīga,"14,0000",56,"11,0000",44,"16,8750",67,"17,0000",68,"58,8750",58,tālmācības vidusskola,Tālmācības vidusskola
6006,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Rīgas Komercskola""",Rīga,"10,0000",40,"12,0000",48,"15,0000",60,"15,0000",60,"52,0000",52,tālmācības vidusskola,Tālmācības vidusskola
6007,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Rīgas Komercskola""",Rīga,"9,0000",36,"12,0000",48,"15,0000",60,"18,5000",74,"54,5000",54,tālmācības vidusskola,Tālmācības vidusskola
6008,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Rīgas Komercskola""",Rīga,"6,0000",24,"4,0000",16,"19,3750",77,"17,0000",68,"46,3750",46,tālmācības vidusskola,Tālmācības vidusskola
6009,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Rīgas Komercskola""",Rīga,"10,0000",40,"12,0000",48,"13,7500",55,"21,0000",84,"56,7500",56,tālmācības vidusskola,Tālmācības vidusskola
6010,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Rīgas Komercskola""",Rīga,"21,0000",84,"21,0000",84,"16,2500",65,"25,0000",100,"83,2500",83,tālmācības vidusskola,Tālmācības vidusskola
6011,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Rīgas Komercskola""",Rīga,"11,0000",44,"3,0000",12,"11,2500",45,"13,0000",52,"38,2500",38,tālmācības vidusskola,Tālmācības vidusskola
6012,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"16,0000",64,"9,0000",36,"15,0000",60,"20,0000",80,"60,0000",60,tālmācības vidusskola,Tālmācības vidusskola
6013,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"17,0000",68,"18,0000",72,"12,5000",50,"25,0000",100,"72,5000",72,tālmācības vidusskola,Tālmācības vidusskola
6014,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"4,0000",16,"3,0000",12,"6,8750",27,"12,0000",48,"25,8750",25,tālmācības vidusskola,Tālmācības vidusskola
6015,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"7,0000",28,"7,0000",28,"10,6250",42,"21,0000",84,"45,6250",45,tālmācības vidusskola,Tālmācības vidusskola
6016,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"14,0000",56,"12,0000",48,"8,7500",35,"16,0000",64,"50,7500",50,tālmācības vidusskola,Tālmācības vidusskola
6017,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"16,0000",64,"13,0000",52,"14,3750",57,"25,0000",100,"68,3750",68,tālmācības vidusskola,Tālmācības vidusskola
6018,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"7,0000",28,"8,0000",32,"12,5000",50,"16,0000",64,"43,5000",43,tālmācības vidusskola,Tālmācības vidusskola
6019,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"7,0000",28,"5,0000",20,"0,0000",0,"0,0000",0,"12,0000",12,tālmācības vidusskola,Tālmācības vidusskola
6020,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"11,0000",44,"13,0000",52,"7,5000",30,"5,0000",20,"36,5000",36,tālmācības vidusskola,Tālmācības vidusskola
6021,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"9,0000",36,"10,0000",40,"15,0000",60,"16,0000",64,"50,0000",50,tālmācības vidusskola,Tālmācības vidusskola
6022,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"6,0000",24,"8,0000",32,"8,7500",35,"10,0000",40,"32,7500",32,tālmācības vidusskola,Tālmācības vidusskola
6023,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"10,0000",40,"10,0000",40,"13,1250",52,"24,0000",96,"57,1250",57,tālmācības vidusskola,Tālmācības vidusskola
6024,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"10,0000",40,"4,0000",16,"8,7500",35,"10,0000",40,"32,7500",32,tālmācības vidusskola,Tālmācības vidusskola
6025,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"11,0000",44,"11,0000",44,"20,6250",82,"25,0000",100,"67,6250",67,tālmācības vidusskola,Tālmācības vidusskola
6026,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"4,0000",16,"4,0000",16,"9,3750",37,"11,0000",44,"28,3750",28,tālmācības vidusskola,Tālmācības vidusskola
6027,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"16,0000",64,"21,0000",84,"18,7500",75,"19,0000",76,"74,7500",74,tālmācības vidusskola,Tālmācības vidusskola
6028,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"17,0000",68,"11,0000",44,"19,3750",77,"22,0000",88,"69,3750",69,tālmācības vidusskola,Tālmācības vidusskola
6029,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"4,0000",16,"5,0000",20,"5,0000",20,"4,0000",16,"18,0000",18,tālmācības vidusskola,Tālmācības vidusskola
6030,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"23,0000",92,"12,0000",48,"14,3750",57,"14,0000",56,"63,3750",63,tālmācības vidusskola,Tālmācības vidusskola
6031,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"6,0000",24,"8,0000",32,"8,7500",35,"18,0000",72,"40,7500",40,tālmācības vidusskola,Tālmācības vidusskola
6032,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"12,0000",48,"18,0000",72,"15,0000",60,"24,0000",96,"69,0000",69,tālmācības vidusskola,Tālmācības vidusskola
6033,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"12,0000",48,"11,0000",44,"11,2500",45,"12,0000",48,"46,2500",46,tālmācības vidusskola,Tālmācības vidusskola
6034,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"10,0000",40,"15,0000",60,"3,7500",15,"9,0000",36,"37,7500",37,tālmācības vidusskola,Tālmācības vidusskola
6035,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"10,0000",40,"1,0000",4,"2,5000",10,"0,0000",0,"13,5000",13,tālmācības vidusskola,Tālmācības vidusskola
6036,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"16,0000",64,"9,0000",36,"16,2500",65,"22,0000",88,"63,2500",63,tālmācības vidusskola,Tālmācības vidusskola
6037,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"4,0000",16,"3,0000",12,"0,0000",0,"6,0000",24,"13,0000",13,tālmācības vidusskola,Tālmācības vidusskola
6038,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"9,0000",36,"8,0000",32,"11,8750",47,"11,0000",44,"39,8750",39,tālmācības vidusskola,Tālmācības vidusskola
6039,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"9,0000",36,"9,0000",36,"8,1250",32,"10,0000",40,"36,1250",36,tālmācības vidusskola,Tālmācības vidusskola
6040,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"10,0000",40,"12,0000",48,"12,5000",50,"13,0000",52,"47,5000",47,tālmācības vidusskola,Tālmācības vidusskola
6041,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"16,0000",64,"20,0000",80,"14,3750",57,"22,0000",88,"72,3750",72,tālmācības vidusskola,Tālmācības vidusskola
6042,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"3,0000",12,"4,0000",16,"3,7500",15,"5,0000",20,"15,7500",15,tālmācības vidusskola,Tālmācības vidusskola
6043,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"7,0000",28,"9,0000",36,"13,1250",52,"17,0000",68,"46,1250",46,tālmācības vidusskola,Tālmācības vidusskola
6044,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"13,0000",52,"9,0000",36,"10,0000",40,"15,0000",60,"47,0000",47,tālmācības vidusskola,Tālmācības vidusskola
6045,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"7,0000",28,"5,0000",20,"10,0000",40,"5,0000",20,"27,0000",27,tālmācības vidusskola,Tālmācības vidusskola
6046,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"5,0000",20,"8,0000",32,"15,0000",60,"22,0000",88,"50,0000",50,tālmācības vidusskola,Tālmācības vidusskola
6047,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"19,0000",76,"15,0000",60,"18,1250",72,"10,0000",40,"62,1250",62,tālmācības vidusskola,Tālmācības vidusskola
6048,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"14,0000",56,"8,0000",32,"8,1250",32,"17,0000",68,"47,1250",47,tālmācības vidusskola,Tālmācības vidusskola
6049,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"6,0000",24,"3,0000",12,"8,7500",35,"9,0000",36,"26,7500",26,tālmācības vidusskola,Tālmācības vidusskola
6050,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"7,0000",28,"14,0000",56,"18,1250",72,"24,0000",96,"63,1250",63,tālmācības vidusskola,Tālmācības vidusskola
6051,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"10,0000",40,"10,0000",40,"15,0000",60,"20,0000",80,"55,0000",55,tālmācības vidusskola,Tālmācības vidusskola
6052,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"17,0000",68,"15,0000",60,"12,5000",50,"17,0000",68,"61,5000",61,tālmācības vidusskola,Tālmācības vidusskola
6053,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"5,0000",20,"6,0000",24,"14,3750",57,"12,0000",48,"37,3750",37,tālmācības vidusskola,Tālmācības vidusskola
6054,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"6,0000",24,"6,0000",24,"6,2500",25,"11,0000",44,"29,2500",29,tālmācības vidusskola,Tālmācības vidusskola
6055,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"15,0000",60,"6,0000",24,"10,6250",42,"14,0000",56,"45,6250",45,tālmācības vidusskola,Tālmācības vidusskola
6056,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"7,0000",28,"7,0000",28,"9,3750",37,"16,0000",64,"39,3750",39,tālmācības vidusskola,Tālmācības vidusskola
6057,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"6,0000",24,"6,0000",24,"11,8750",47,"7,0000",28,"30,8750",30,tālmācības vidusskola,Tālmācības vidusskola
6058,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"2,0000",8,"3,0000",12,"0,0000",0,"0,0000",0,"5,0000",5,tālmācības vidusskola,Tālmācības vidusskola
6059,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"13,0000",52,"10,0000",40,"18,1250",72,"15,0000",60,"56,1250",56,tālmācības vidusskola,Tālmācības vidusskola
6060,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"8,0000",32,"3,0000",12,"0,0000",0,"5,0000",20,"16,0000",16,tālmācības vidusskola,Tālmācības vidusskola
6061,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"17,0000",68,"14,0000",56,"11,2500",45,"12,0000",48,"54,2500",54,tālmācības vidusskola,Tālmācības vidusskola
6062,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"4,0000",16,"3,0000",12,"9,3750",37,"15,0000",60,"31,3750",31,tālmācības vidusskola,Tālmācības vidusskola
6063,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"12,0000",48,"9,0000",36,"11,2500",45,"9,0000",36,"41,2500",41,tālmācības vidusskola,Tālmācības vidusskola
6064,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"10,0000",40,"8,0000",32,"10,0000",40,"18,0000",72,"46,0000",46,tālmācības vidusskola,Tālmācības vidusskola
6065,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"11,0000",44,"9,0000",36,"13,7500",55,"19,0000",76,"52,7500",52,tālmācības vidusskola,Tālmācības vidusskola
6066,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"14,0000",56,"13,0000",52,"21,8750",87,"22,0000",88,"70,8750",70,tālmācības vidusskola,Tālmācības vidusskola
6067,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"15,0000",60,"15,0000",60,"17,5000",70,"21,0000",84,"68,5000",68,tālmācības vidusskola,Tālmācības vidusskola
6068,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"2,0000",8,"2,0000",8,"7,5000",30,"14,0000",56,"25,5000",25,tālmācības vidusskola,Tālmācības vidusskola
6069,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"11,0000",44,"11,0000",44,"11,8750",47,"20,0000",80,"53,8750",53,tālmācības vidusskola,Tālmācības vidusskola
6070,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"4,0000",16,"3,0000",12,"3,7500",15,"11,0000",44,"21,7500",21,tālmācības vidusskola,Tālmācības vidusskola
6071,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"9,0000",36,"2,0000",8,"9,3750",37,"18,0000",72,"38,3750",38,tālmācības vidusskola,Tālmācības vidusskola
6072,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"11,0000",44,"14,0000",56,"18,7500",75,"25,0000",100,"68,7500",68,tālmācības vidusskola,Tālmācības vidusskola
6073,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"16,0000",64,"13,0000",52,"11,8750",47,"21,0000",84,"61,8750",61,tālmācības vidusskola,Tālmācības vidusskola
6074,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"7,0000",28,"9,0000",36,"9,3750",37,"18,0000",72,"43,3750",43,tālmācības vidusskola,Tālmācības vidusskola
6075,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"15,0000",60,"9,0000",36,"10,0000",40,"0,0000",0,"34,0000",34,tālmācības vidusskola,Tālmācības vidusskola
6076,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"4,0000",16,"5,0000",20,"11,8750",47,"18,0000",72,"38,8750",38,tālmācības vidusskola,Tālmācības vidusskola
6077,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"11,0000",44,"10,0000",40,"12,5000",50,"11,0000",44,"44,5000",44,tālmācības vidusskola,Tālmācības vidusskola
6078,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"7,0000",28,"5,0000",20,"10,0000",40,"10,0000",40,"32,0000",32,tālmācības vidusskola,Tālmācības vidusskola
6079,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"7,0000",28,"6,0000",24,"6,8750",27,"16,0000",64,"35,8750",35,tālmācības vidusskola,Tālmācības vidusskola
6080,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"2,0000",8,"3,0000",12,"9,3750",37,"14,0000",56,"28,3750",28,tālmācības vidusskola,Tālmācības vidusskola
6081,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"10,0000",40,"12,0000",48,"13,1250",52,"25,0000",100,"60,1250",60,tālmācības vidusskola,Tālmācības vidusskola
6082,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"16,0000",64,"18,0000",72,"13,7500",55,"25,0000",100,"72,7500",72,tālmācības vidusskola,Tālmācības vidusskola
6083,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"13,0000",52,"12,0000",48,"18,1250",72,"24,0000",96,"67,1250",67,tālmācības vidusskola,Tālmācības vidusskola
6084,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"8,0000",32,"9,0000",36,"11,2500",45,"18,0000",72,"46,2500",46,tālmācības vidusskola,Tālmācības vidusskola
6085,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"5,0000",20,"7,0000",28,"8,7500",35,"10,0000",40,"30,7500",30,tālmācības vidusskola,Tālmācības vidusskola
6086,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"15,0000",60,"9,0000",36,"13,7500",55,"14,0000",56,"51,7500",51,tālmācības vidusskola,Tālmācības vidusskola
6087,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"4,0000",16,"8,0000",32,"11,2500",45,"18,0000",72,"41,2500",41,tālmācības vidusskola,Tālmācības vidusskola
6088,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"17,0000",68,"13,0000",52,"14,3750",57,"16,0000",64,"60,3750",60,tālmācības vidusskola,Tālmācības vidusskola
6089,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"5,0000",20,"7,0000",28,"8,1250",32,"8,0000",32,"28,1250",28,tālmācības vidusskola,Tālmācības vidusskola
6090,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"19,0000",76,"12,0000",48,"11,2500",45,"22,0000",88,"64,2500",64,tālmācības vidusskola,Tālmācības vidusskola
6091,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"10,0000",40,"3,0000",12,"10,0000",40,"13,0000",52,"36,0000",36,tālmācības vidusskola,Tālmācības vidusskola
6092,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"17,0000",68,"13,0000",52,"13,7500",55,"11,0000",44,"54,7500",54,tālmācības vidusskola,Tālmācības vidusskola
6093,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"4,0000",16,"2,0000",8,"2,5000",10,"0,0000",0,"8,5000",8,tālmācības vidusskola,Tālmācības vidusskola
6094,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"6,0000",24,"5,0000",20,"3,7500",15,"0,0000",0,"14,7500",14,tālmācības vidusskola,Tālmācības vidusskola
6095,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"7,0000",28,"2,0000",8,"6,8750",27,"10,0000",40,"25,8750",25,tālmācības vidusskola,Tālmācības vidusskola
6096,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"10,0000",40,"8,0000",32,"10,0000",40,"23,0000",92,"51,0000",51,tālmācības vidusskola,Tālmācības vidusskola
6097,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"8,0000",32,"4,0000",16,"11,2500",45,"4,0000",16,"27,2500",27,tālmācības vidusskola,Tālmācības vidusskola
6098,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"4,0000",16,"4,0000",16,"5,0000",20,"4,0000",16,"17,0000",17,tālmācības vidusskola,Tālmācības vidusskola
6099,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"11,0000",44,"10,0000",40,"0,0000",0,"9,0000",36,"30,0000",30,tālmācības vidusskola,Tālmācības vidusskola
6100,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"14,0000",56,"9,0000",36,"10,0000",40,"11,0000",44,"44,0000",44,tālmācības vidusskola,Tālmācības vidusskola
6101,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Tālmācības vidusskola ""Vidusskola.com""",Rīga,"11,0000",44,"6,0000",24,"14,3750",57,"0,0000",0,"31,3750",31,tālmācības vidusskola,Tālmācības vidusskola
